DistrictName,Vndr,Loc,GPmRFI
Houston South,TRO-i,20,23981
Houston North,TRO-i,21,15803
Washington,TRO-i,22,24101
Minnesota,TRO-i,23,20237
Houston South,TRO-i,24,22082
San Antonio,TRO-i,25,20583
Minnesota,TRO-i,26,23631
Washington,TRO-i,27,2112
San Antonio,TRO-i,29,22545
Southern Ohio,TRO-i,30,21314
Midwest,TRO-i,31,33024
Southern Ohio,TRO-i,32,11325
Tarrant County,TRO-i,33,22681
Washington,TRO-i,34,21212
Wisconsin,TRO-i,35,21131
Minnesota,TRO-i,36,20707
Midwest,IDAURORA-i,86,254
Chicago,IDAURORA-i,87,98
Kentucky,IDAURORA-i,88,46
Chicago,IDAURORA-i,90,71
Columbus,IDAURORA-i,91,32
Columbus,IDAURORA-i,92,23
Minnesota,IDAURORA-i,93,76
Chicago,IDAURORA-i,94,102
Houston South,IDAURORA-i,95,138
Minnesota,IDAURORA-i,96,144
Kentucky,IDAURORA-i,97,58
Tarrant County,IDAURORA-i,98,149
Midwest,IDAURORA-i,99,317
Indiana,IDAURORA-i,100,88
Chicago,IDAURORA-i,101,79
Indiana,IDAURORA-i,102,47
Wisconsin,IDAURORA-i,103,21
Austin,IDAURORA-i,104,88
Oklahoma,IDAURORA-i,105,70
Arizona,IDAURORA-i,106,41
Southern Ohio,IDAURORA-i,107,106
Chicago,IDAURORA-i,108,48
Dallas South,IDAURORA-i,109,228
Oklahoma,IDAURORA-i,110,64
Tarrant County,IDAURORA-i,111,59
California,IDAURORA-i,112,132
San Antonio,IDAURORA-i,113,96
Oklahoma,IDAURORA-i,114,35
Chicago,IDAURORA-i,115,48
Kentucky,IDAURORA-i,116,77
Chicago,IDAURORA-i,117,164
Austin,IDAURORA-i,118,116
Chicago,IDAURORA-i,119,115
St. Louis,IDAURORA-i,120,69
Columbus,IDAURORA-i,121,58
California,IDAURORA-i,122,45
St. Louis,IDAURORA-i,123,101
Chicago,IDAURORA-i,124,116
Georgia,IDAURORA-i,125,55
Georgia,IDAURORA-i,126,4
Dallas Flagship,IDAURORA-r,1,2672
Dallas South,IDAURORA-r,2,212
Tarrant County,IDAURORA-r,3,621
San Antonio,IDAURORA-r,4,621
Austin,IDAURORA-r,5,943
Houston North,IDAURORA-r,6,454
Austin,IDAURORA-r,7,354
Dallas North,IDAURORA-r,8,598
Houston North,IDAURORA-r,9,376
San Antonio,IDAURORA-r,10,333
Houston South,IDAURORA-r,11,531
Tarrant County,IDAURORA-r,12,514
Wisconsin,IDAURORA-r,14,217
Houston South,IDAURORA-r,15,552
Dallas South,IDAURORA-r,16,492
Austin,IDAURORA-r,17,1110
Tarrant County,IDAURORA-r,18,142
Columbus,IDAURORA-r,19,313
Houston South,IDAURORA-r,20,408
Houston North,IDAURORA-r,21,683
Washington,IDAURORA-r,22,723
Minnesota,IDAURORA-r,23,1029
Houston South,IDAURORA-r,24,505
San Antonio,IDAURORA-r,25,737
Minnesota,IDAURORA-r,26,579
San Antonio,IDAURORA-r,29,186
Southern Ohio,IDAURORA-r,30,666
Midwest,IDAURORA-r,31,812
Southern Ohio,IDAURORA-r,32,627
Tarrant County,IDAURORA-r,33,733
Washington,IDAURORA-r,34,628
Wisconsin,IDAURORA-r,35,454
Minnesota,IDAURORA-r,36,243
California,IDAURORA-r,37,531
Indiana,IDAURORA-r,38,490
Indiana,IDAURORA-r,39,417
Columbus,IDAURORA-r,40,376
Wisconsin,IDAURORA-r,41,108
Penn-Cleveland,IDAURORA-r,42,406
Dallas North,IDAURORA-r,43,308
Houston North,IDAURORA-r,44,541
Southern Ohio,IDAURORA-r,45,811
Dallas South,IDAURORA-r,46,324
Indiana,IDAURORA-r,47,438
Washington,IDAURORA-r,48,320
Dallas South,IDAURORA-r,49,257
Penn-Cleveland,IDAURORA-r,50,297
Wisconsin,IDAURORA-r,51,484
Columbus,IDAURORA-r,52,457
Minnesota,IDAURORA-r,53,537
Washington,IDAURORA-r,54,575
California,IDAURORA-r,55,325
Houston North,IDAURORA-r,56,412
Austin,IDAURORA-r,57,992
Dallas North,IDAURORA-r,58,218
Dallas North,IDAURORA-r,59,420
Tarrant County,IDAURORA-r,60,278
Penn-Cleveland,IDAURORA-r,61,506
Penn-Cleveland,IDAURORA-r,62,335
Washington,IDAURORA-r,64,531
Dallas North,IDAURORA-r,65,186
Penn-Cleveland,IDAURORA-r,66,626
California,IDAURORA-r,67,604
Minnesota,IDAURORA-r,68,301
Arizona,IDAURORA-r,69,486
Midwest,IDAURORA-r,70,507
Washington,IDAURORA-r,71,346
Arizona,IDAURORA-r,72,403
Midwest,IDAURORA-r,73,434
Houston South,IDAURORA-r,74,332
Austin,IDAURORA-r,75,867
Austin,IDAURORA-r,76,551
Midwest,IDCROWNPOI-i,99,10
Indiana,IDCROWNPOI-i,100,20
Chicago,IDCROWNPOI-i,101,26
Indiana,IDCROWNPOI-i,102,20
Wisconsin,IDCROWNPOI-i,103,16
Austin,IDCROWNPOI-i,104,14
Oklahoma,IDCROWNPOI-i,105,12
Arizona,IDCROWNPOI-i,106,5
Southern Ohio,IDCROWNPOI-i,107,5
Chicago,IDCROWNPOI-i,108,17
Dallas South,IDCROWNPOI-i,109,14
Oklahoma,IDCROWNPOI-i,110,17
Tarrant County,IDCROWNPOI-i,111,5
California,IDCROWNPOI-i,112,17
San Antonio,IDCROWNPOI-i,113,14
Oklahoma,IDCROWNPOI-i,114,12
Chicago,IDCROWNPOI-i,115,9
Kentucky,IDCROWNPOI-i,116,20
Chicago,IDCROWNPOI-i,117,21
Austin,IDCROWNPOI-i,118,11
Chicago,IDCROWNPOI-i,119,7
St. Louis,IDCROWNPOI-i,120,12
Columbus,IDCROWNPOI-i,121,28
California,IDCROWNPOI-i,122,30
St. Louis,IDCROWNPOI-i,123,11
Chicago,IDCROWNPOI-i,124,22
Georgia,IDCROWNPOI-i,125,22
Georgia,IDCROWNPOI-i,126,7
St. Louis,IDCROWNPOI-i,127,10
Dallas Flagship,IDCROWNPOI-r,1,11422
Dallas South,IDCROWNPOI-r,2,2375
Tarrant County,IDCROWNPOI-r,3,2963
San Antonio,IDCROWNPOI-r,4,3425
Austin,IDCROWNPOI-r,5,4651
Houston North,IDCROWNPOI-r,6,2340
Austin,IDCROWNPOI-r,7,2079
Dallas North,IDCROWNPOI-r,8,3420
Houston North,IDCROWNPOI-r,9,4196
San Antonio,IDCROWNPOI-r,10,2183
Houston South,IDCROWNPOI-r,11,3672
Tarrant County,IDCROWNPOI-r,12,3411
Kentucky,IDCROWNPOI-r,13,3066
Wisconsin,IDCROWNPOI-r,14,3330
Houston South,IDCROWNPOI-r,15,3682
Dallas South,IDCROWNPOI-r,16,1180
Austin,IDCROWNPOI-r,17,3774
Tarrant County,IDCROWNPOI-r,18,3052
Columbus,IDCROWNPOI-r,19,2682
Houston South,IDCROWNPOI-r,20,3973
Houston North,IDCROWNPOI-r,21,4327
Washington,IDCROWNPOI-r,22,5417
Minnesota,IDCROWNPOI-r,23,4132
Houston South,IDCROWNPOI-r,24,3755
San Antonio,IDCROWNPOI-r,25,2832
Minnesota,IDCROWNPOI-r,26,5295
Washington,IDCROWNPOI-r,27,626
San Antonio,IDCROWNPOI-r,29,2745
Southern Ohio,IDCROWNPOI-r,30,4942
Midwest,IDCROWNPOI-r,31,10950
Southern Ohio,IDCROWNPOI-r,32,2742
Tarrant County,IDCROWNPOI-r,33,4042
Washington,IDCROWNPOI-r,34,3433
Wisconsin,IDCROWNPOI-r,35,1800
Minnesota,IDCROWNPOI-r,36,3500
California,IDCROWNPOI-r,37,4840
Indiana,IDCROWNPOI-r,38,3705
Indiana,IDCROWNPOI-r,39,5101
Columbus,IDCROWNPOI-r,40,4689
Wisconsin,IDCROWNPOI-r,41,3144
Penn-Cleveland,IDCROWNPOI-r,42,3837
Dallas North,IDCROWNPOI-r,43,1853
Houston North,IDCROWNPOI-r,44,4788
Southern Ohio,IDCROWNPOI-r,45,5977
Dallas South,IDCROWNPOI-r,46,2723
Indiana,IDCROWNPOI-r,47,5360
Washington,IDCROWNPOI-r,48,2459
Dallas South,IDCROWNPOI-r,49,1992
Penn-Cleveland,IDCROWNPOI-r,50,3007
Wisconsin,IDCROWNPOI-r,51,3219
Columbus,IDCROWNPOI-r,52,3501
Minnesota,IDCROWNPOI-r,53,4250
Washington,IDCROWNPOI-r,54,3906
California,IDCROWNPOI-r,55,3249
Houston North,IDCROWNPOI-r,56,3235
Austin,IDCROWNPOI-r,57,4303
Dallas North,IDCROWNPOI-r,58,2856
Dallas North,IDCROWNPOI-r,59,6017
Tarrant County,IDCROWNPOI-r,60,2771
Penn-Cleveland,IDCROWNPOI-r,61,4659
Penn-Cleveland,IDCROWNPOI-r,62,5306
Washington,IDCROWNPOI-r,64,3056
Dallas North,IDCROWNPOI-r,65,4546
Penn-Cleveland,IDCROWNPOI-r,66,5203
California,IDCROWNPOI-r,67,4160
Minnesota,IDCROWNPOI-r,68,3323
Arizona,IDCROWNPOI-r,69,3003
Midwest,IDCROWNPOI-r,70,4939
Washington,IDCROWNPOI-r,71,3570
Arizona,IDCROWNPOI-r,72,3345
Midwest,IDCROWNPOI-r,73,4245
Houston South,IDCROWNPOI-r,74,2676
Austin,IDCROWNPOI-r,75,3364
Austin,IDCROWNPOI-r,76,1826
Penn-Cleveland,IDCROWNPOI-r,77,3495
Midwest,IDCROWNPOI-r,78,1327
Southern Ohio,IDCROWNPOI-r,80,2975
Tarrant County,IDCROWNPOI-r,81,3646
Southern Ohio,IDCROWNPOI-r,82,4995
Dallas South,IDCROWNPOI-r,83,3568
Midwest,IDCROWNPOI-r,84,2884
Dallas North,IDCROWNPOI-r,85,3364
Midwest,IDCROWNPOI-r,86,5246
Dallas North,IDMELISSA&-r,8,2799
Houston North,IDMELISSA&-r,9,3037
San Antonio,IDMELISSA&-r,10,1185
Houston South,IDMELISSA&-r,11,2723
Tarrant County,IDMELISSA&-r,12,2347
Kentucky,IDMELISSA&-r,13,244
Wisconsin,IDMELISSA&-r,14,502
Houston South,IDMELISSA&-r,15,3765
Dallas South,IDMELISSA&-r,16,2508
Austin,IDMELISSA&-r,17,2875
Tarrant County,IDMELISSA&-r,18,2529
Columbus,IDMELISSA&-r,19,-1
Houston South,IDMELISSA&-r,20,2961
Houston North,IDMELISSA&-r,21,2935
Washington,IDMELISSA&-r,22,1582
Minnesota,IDMELISSA&-r,23,3797
Houston South,IDMELISSA&-r,24,3923
San Antonio,IDMELISSA&-r,25,1189
Minnesota,IDMELISSA&-r,26,1874
Washington,IDMELISSA&-r,27,24
San Antonio,IDMELISSA&-r,29,854
Southern Ohio,IDMELISSA&-r,30,1694
Midwest,IDMELISSA&-r,31,3245
Southern Ohio,IDMELISSA&-r,32,505
Tarrant County,IDMELISSA&-r,33,3215
Washington,IDMELISSA&-r,34,1245
Wisconsin,IDMELISSA&-r,35,1030
Minnesota,IDMELISSA&-r,36,2398
California,IDMELISSA&-r,37,1606
Indiana,IDMELISSA&-r,38,1847
Indiana,IDMELISSA&-r,39,1533
Columbus,IDMELISSA&-r,40,4
Wisconsin,IDMELISSA&-r,41,657
Penn-Cleveland,IDMELISSA&-r,42,102
Dallas North,IDMELISSA&-r,43,1805
Houston North,IDMELISSA&-r,44,4337
Southern Ohio,IDMELISSA&-r,45,2613
Dallas South,IDMELISSA&-r,46,2711
Indiana,IDMELISSA&-r,47,1480
Washington,IDMELISSA&-r,48,946
Dallas South,IDMELISSA&-r,49,2701
Penn-Cleveland,IDMELISSA&-r,50,235
Wisconsin,IDMELISSA&-r,51,365
Minnesota,IDMELISSA&-r,53,2195
Washington,IDMELISSA&-r,54,1607
California,IDMELISSA&-r,55,4007
Houston North,IDMELISSA&-r,56,2889
Austin,IDMELISSA&-r,57,3571
Dallas North,IDMELISSA&-r,58,1545
Dallas North,IDMELISSA&-r,59,2310
Tarrant County,IDMELISSA&-r,60,2010
Penn-Cleveland,IDMELISSA&-r,61,3
Penn-Cleveland,IDMELISSA&-r,62,-1
Washington,IDMELISSA&-r,64,939
Dallas North,IDMELISSA&-r,65,2087
Penn-Cleveland,IDMELISSA&-r,66,14
California,IDMELISSA&-r,67,4668
Minnesota,IDMELISSA&-r,68,1567
Arizona,IDMELISSA&-r,69,1424
Midwest,IDMELISSA&-r,70,3605
Washington,IDMELISSA&-r,71,1022
Arizona,IDMELISSA&-r,72,455
Midwest,IDMELISSA&-r,73,3613
Houston South,IDMELISSA&-r,74,1787
Austin,IDMELISSA&-r,75,2690
Austin,IDMELISSA&-r,76,728
Penn-Cleveland,IDMELISSA&-r,77,39
Midwest,IDMELISSA&-r,78,2041
Southern Ohio,IDMELISSA&-r,80,362
Tarrant County,IDMELISSA&-r,81,2696
Southern Ohio,IDMELISSA&-r,82,1158
Dallas South,IDMELISSA&-r,83,2292
Midwest,IDMELISSA&-r,84,2620
Dallas North,IDMELISSA&-r,85,2335
Midwest,IDMELISSA&-r,86,1910
Chicago,IDMELISSA&-r,87,895
Kentucky,IDMELISSA&-r,88,233
Chicago,IDMELISSA&-r,90,911
Columbus,IDMELISSA&-r,91,-12
Columbus,IDMELISSA&-r,92,9
Minnesota,IDMELISSA&-r,93,18
Chicago,IDMELISSA&-r,94,439
Houston South,IDMELISSA&-r,95,1937
Minnesota,IDMELISSA&-r,96,1844
Kentucky,IDMELISSA&-r,97,303
Tarrant County,IDMELISSA&-r,98,2024
Midwest,IDMELISSA&-r,99,3784
Indiana,IDMELISSA&-r,100,1780
Chicago,IDMELISSA&-r,101,406
Indiana,IDMELISSA&-r,102,941
Wisconsin,IDMELISSA&-r,103,688
Austin,IDMELISSA&-r,104,2227
Oklahoma,IDMELISSA&-r,105,877
Arizona,IDMELISSA&-r,106,776
Southern Ohio,IDMELISSA&-r,107,1344
Chicago,IDMELISSA&-r,108,215
Dallas South,IDMELISSA&-r,109,3324
Oklahoma,IDMELISSA&-r,110,1050
Tarrant County,IDMELISSA&-r,111,1294
California,IDMELISSA&-r,112,2910
San Antonio,IDMELISSA&-r,113,451
Oklahoma,IDMELISSA&-r,114,1525
Chicago,IDMELISSA&-r,115,1169
Kentucky,IDMELISSA&-r,116,270
Chicago,IDMELISSA&-r,117,822
Austin,IDMELISSA&-r,118,1897
Chicago,IDMELISSA&-r,119,800
St. Louis,IDMELISSA&-r,120,1714
Columbus,IDMELISSA&-r,121,-4
California,IDMELISSA&-r,122,522
St. Louis,IDMELISSA&-r,123,1395
Chicago,IDMELISSA&-r,124,289
Tarrant County,IDSALESCOR-r,33,254
Washington,IDSALESCOR-r,34,859
Wisconsin,IDSALESCOR-r,35,411
Minnesota,IDSALESCOR-r,36,960
California,IDSALESCOR-r,37,758
Indiana,IDSALESCOR-r,38,474
Indiana,IDSALESCOR-r,39,271
Columbus,IDSALESCOR-r,40,37
Wisconsin,IDSALESCOR-r,41,228
Penn-Cleveland,IDSALESCOR-r,42,128
Dallas North,IDSALESCOR-r,43,488
Houston North,IDSALESCOR-r,44,847
Southern Ohio,IDSALESCOR-r,45,353
Dallas South,IDSALESCOR-r,46,767
Indiana,IDSALESCOR-r,47,708
Washington,IDSALESCOR-r,48,333
Dallas South,IDSALESCOR-r,49,770
Penn-Cleveland,IDSALESCOR-r,50,242
Wisconsin,IDSALESCOR-r,51,329
Columbus,IDSALESCOR-r,52,54
Minnesota,IDSALESCOR-r,53,808
Washington,IDSALESCOR-r,54,300
California,IDSALESCOR-r,55,786
Houston North,IDSALESCOR-r,56,718
Austin,IDSALESCOR-r,57,328
Dallas North,IDSALESCOR-r,58,367
Dallas North,IDSALESCOR-r,59,344
Tarrant County,IDSALESCOR-r,60,218
Penn-Cleveland,IDSALESCOR-r,61,275
Penn-Cleveland,IDSALESCOR-r,62,-106
Washington,IDSALESCOR-r,64,768
Dallas North,IDSALESCOR-r,65,455
Penn-Cleveland,IDSALESCOR-r,66,384
California,IDSALESCOR-r,67,687
Minnesota,IDSALESCOR-r,68,1023
Arizona,IDSALESCOR-r,69,987
Midwest,IDSALESCOR-r,70,728
Washington,IDSALESCOR-r,71,335
Arizona,IDSALESCOR-r,72,674
Midwest,IDSALESCOR-r,73,897
Houston South,IDSALESCOR-r,74,1052
Austin,IDSALESCOR-r,75,798
Austin,IDSALESCOR-r,76,610
Penn-Cleveland,IDSALESCOR-r,77,393
Midwest,IDSALESCOR-r,78,661
Southern Ohio,IDSALESCOR-r,80,235
Tarrant County,IDSALESCOR-r,81,258
Southern Ohio,IDSALESCOR-r,82,322
Dallas South,IDSALESCOR-r,83,545
Midwest,IDSALESCOR-r,84,794
Dallas North,IDSALESCOR-r,85,375
Midwest,IDSALESCOR-r,86,1291
Chicago,IDSALESCOR-r,87,298
Kentucky,IDSALESCOR-r,88,81
Chicago,IDSALESCOR-r,90,437
Columbus,IDSALESCOR-r,91,0
Columbus,IDSALESCOR-r,92,35
Minnesota,IDSALESCOR-r,93,92
Chicago,IDSALESCOR-r,94,60
Houston South,IDSALESCOR-r,95,285
Minnesota,IDSALESCOR-r,96,657
Kentucky,IDSALESCOR-r,97,68
Tarrant County,IDSALESCOR-r,98,392
Midwest,IDSALESCOR-r,99,1252
Indiana,IDSALESCOR-r,100,803
Chicago,IDSALESCOR-r,101,75
Indiana,IDSALESCOR-r,102,714
Wisconsin,IDSALESCOR-r,103,250
Austin,IDSALESCOR-r,104,409
Oklahoma,IDSALESCOR-r,105,393
Arizona,IDSALESCOR-r,106,172
Southern Ohio,IDSALESCOR-r,107,521
Chicago,IDSALESCOR-r,108,384
Dallas South,IDSALESCOR-r,109,726
Oklahoma,IDSALESCOR-r,110,630
Tarrant County,IDSALESCOR-r,111,424
California,IDSALESCOR-r,112,650
San Antonio,IDSALESCOR-r,113,719
Oklahoma,IDSALESCOR-r,114,366
Chicago,IDSALESCOR-r,115,326
Kentucky,IDSALESCOR-r,116,48
Chicago,IDSALESCOR-r,117,159
Austin,IDSALESCOR-r,118,834
Chicago,IDSALESCOR-r,119,185
St. Louis,IDSALESCOR-r,120,435
Columbus,IDSALESCOR-r,121,-70
California,IDSALESCOR-r,122,928
St. Louis,IDSALESCOR-r,123,631
Chicago,IDSALESCOR-r,124,150
Georgia,IDSALESCOR-r,125,289
Georgia,IDSALESCOR-r,126,112
St. Louis,IDSALESCOR-r,127,209
Dallas Flagship,IDTOYSMITH-i,1,1078
Dallas South,IDTOYSMITH-i,2,169
Tarrant County,IDTOYSMITH-i,3,228
San Antonio,IDTOYSMITH-i,4,275
Austin,IDTOYSMITH-i,5,511
Houston North,IDTOYSMITH-i,6,205
Austin,IDTOYSMITH-i,7,225
Dallas North,IDTOYSMITH-i,8,329
Houston North,IDTOYSMITH-i,9,274
San Antonio,IDTOYSMITH-i,10,156
Houston South,IDTOYSMITH-i,11,398
Tarrant County,IDTOYSMITH-i,12,233
Kentucky,IDTOYSMITH-i,13,284
Wisconsin,IDTOYSMITH-i,14,176
Houston South,IDTOYSMITH-i,15,574
Dallas South,IDTOYSMITH-i,16,71
Austin,IDTOYSMITH-i,17,515
Tarrant County,IDTOYSMITH-i,18,243
Columbus,IDTOYSMITH-i,19,194
Houston South,IDTOYSMITH-i,20,366
Chicago,IDWISHPETS-i,108,22
Dallas South,IDWISHPETS-i,109,90
Oklahoma,IDWISHPETS-i,110,76
Tarrant County,IDWISHPETS-i,111,40
California,IDWISHPETS-i,112,62
San Antonio,IDWISHPETS-i,113,105
Oklahoma,IDWISHPETS-i,114,36
Chicago,IDWISHPETS-i,115,48
Kentucky,IDWISHPETS-i,116,66
Chicago,IDWISHPETS-i,117,51
Austin,IDWISHPETS-i,118,83
Chicago,IDWISHPETS-i,119,36
St. Louis,IDWISHPETS-i,120,76
Columbus,IDWISHPETS-i,121,42
California,IDWISHPETS-i,122,24
St. Louis,IDWISHPETS-i,123,77
Chicago,IDWISHPETS-i,124,58
Georgia,IDWISHPETS-i,125,27
Georgia,IDWISHPETS-i,126,20
Dallas Flagship,IDWISHPETS-r,1,3723
Dallas South,IDWISHPETS-r,2,703
Tarrant County,IDWISHPETS-r,3,1127
San Antonio,IDWISHPETS-r,4,930
Austin,IDWISHPETS-r,5,1452
Houston North,IDWISHPETS-r,6,942
Austin,IDWISHPETS-r,7,904
Dallas North,IDWISHPETS-r,8,1115
Houston North,IDWISHPETS-r,9,747
San Antonio,IDWISHPETS-r,10,939
Houston South,IDWISHPETS-r,11,886
Tarrant County,IDWISHPETS-r,12,882
Kentucky,IDWISHPETS-r,13,483
Wisconsin,IDWISHPETS-r,14,481
Houston South,IDWISHPETS-r,15,1280
Dallas South,IDWISHPETS-r,16,610
Austin,IDWISHPETS-r,17,2273
Tarrant County,IDWISHPETS-r,18,694
Columbus,IDWISHPETS-r,19,633
Houston South,IDWISHPETS-r,20,683
Houston North,IDWISHPETS-r,21,1032
Washington,IDWISHPETS-r,22,836
Minnesota,IDWISHPETS-r,23,915
Houston South,IDWISHPETS-r,24,826
San Antonio,IDWISHPETS-r,25,1219
Minnesota,IDWISHPETS-r,26,818
Washington,IDWISHPETS-r,27,10
San Antonio,IDWISHPETS-r,29,597
Southern Ohio,IDWISHPETS-r,30,890
Midwest,IDWISHPETS-r,31,1529
Southern Ohio,IDWISHPETS-r,32,727
Tarrant County,IDWISHPETS-r,33,1500
Washington,IDWISHPETS-r,34,712
Wisconsin,IDWISHPETS-r,35,549
Minnesota,IDWISHPETS-r,36,1157
California,IDWISHPETS-r,37,503
Indiana,IDWISHPETS-r,38,1122
Indiana,IDWISHPETS-r,39,976
Columbus,IDWISHPETS-r,40,930
Wisconsin,IDWISHPETS-r,41,789
Penn-Cleveland,IDWISHPETS-r,42,750
Dallas North,IDWISHPETS-r,43,604
Houston North,IDWISHPETS-r,44,1078
Southern Ohio,IDWISHPETS-r,45,1015
Dallas South,IDWISHPETS-r,46,552
Indiana,IDWISHPETS-r,47,947
Washington,IDWISHPETS-r,48,619
Dallas South,IDWISHPETS-r,49,527
Penn-Cleveland,IDWISHPETS-r,50,600
Wisconsin,IDWISHPETS-r,51,612
Columbus,IDWISHPETS-r,52,783
Minnesota,IDWISHPETS-r,53,1253
Washington,IDWISHPETS-r,54,946
California,IDWISHPETS-r,55,640
Houston North,IDWISHPETS-r,56,1018
Austin,IDWISHPETS-r,57,1611
Dallas North,IDWISHPETS-r,58,467
Dallas North,IDWISHPETS-r,59,658
Tarrant County,IDWISHPETS-r,60,814
Penn-Cleveland,IDWISHPETS-r,61,728
Penn-Cleveland,IDWISHPETS-r,62,645
Washington,IDWISHPETS-r,64,656
Dallas North,IDWISHPETS-r,65,1291
Penn-Cleveland,IDWISHPETS-r,66,729
California,IDWISHPETS-r,67,1504
Minnesota,IDWISHPETS-r,68,1087
Arizona,IDWISHPETS-r,69,711
Midwest,IDWISHPETS-r,70,994
Washington,IDWISHPETS-r,71,438
Arizona,IDWISHPETS-r,72,718
Midwest,IDWISHPETS-r,73,1041
Houston South,IDWISHPETS-r,74,398
Austin,IDWISHPETS-r,75,2015
Austin,IDWISHPETS-r,76,1022
Penn-Cleveland,IDWISHPETS-r,77,607
Midwest,IDWISHPETS-r,78,788
Southern Ohio,IDWISHPETS-r,80,423
Tarrant County,IDWISHPETS-r,81,1720
Southern Ohio,IDWISHPETS-r,82,775
Dallas South,IDWISHPETS-r,83,645
Midwest,IDWISHPETS-r,84,955
Dallas North,IDWISHPETS-r,85,1077
Midwest,IDWISHPETS-r,86,1417
Chicago,IDWISHPETS-r,87,609
Kentucky,IDWISHPETS-r,88,482
Chicago,IDWISHPETS-r,90,514
Columbus,IDWISHPETS-r,91,289
Columbus,IDWISHPETS-r,92,67
Minnesota,IDWISHPETS-r,93,176
Chicago,IDWISHPETS-r,94,88
Houston South,IDWISHPETS-r,95,376
Minnesota,IDWISHPETS-r,96,1338
Kentucky,IDWISHPETS-r,97,456
Minnesota,TEXASBKNON-i,26,2957
Washington,TEXASBKNON-i,27,354
San Antonio,TEXASBKNON-i,29,2629
Southern Ohio,TEXASBKNON-i,30,3186
Midwest,TEXASBKNON-i,31,4294
Southern Ohio,TEXASBKNON-i,32,2056
Tarrant County,TEXASBKNON-i,33,3538
Washington,TEXASBKNON-i,34,3382
Wisconsin,TEXASBKNON-i,35,2735
Minnesota,TEXASBKNON-i,36,2841
California,TEXASBKNON-i,37,2960
Indiana,TEXASBKNON-i,38,2980
Indiana,TEXASBKNON-i,39,2540
Columbus,TEXASBKNON-i,40,3175
Wisconsin,TEXASBKNON-i,41,2017
Penn-Cleveland,TEXASBKNON-i,42,2148
Dallas North,TEXASBKNON-i,43,1946
Houston North,TEXASBKNON-i,44,3131
Southern Ohio,TEXASBKNON-i,45,3349
Dallas South,TEXASBKNON-i,46,2208
Indiana,TEXASBKNON-i,47,2912
Washington,TEXASBKNON-i,48,2234
Dallas South,TEXASBKNON-i,49,1981
Penn-Cleveland,TEXASBKNON-i,50,2453
Wisconsin,TEXASBKNON-i,51,3199
